elements,rows,python,pandas_read_csv,pandas_tuples_to_df,julia_c,julia_basic,julia_prealloc,julia_opt,cpp,load_external
1028,500,0.08533310890197754,0.0016202131907145183,0.08371289571126302,0.000606536865234375,0.0017518202463785808,0.0009110768636067709,0.00030724207560221356,0.0002449353535970052,0.0010204315185546875
4319,500,0.09801046053568523,0.0018246173858642578,0.09618584314982097,0.001249233881632487,0.006252765655517578,0.0020133654276529946,0.00039847691853841144,0.0006279945373535156,0.0010484059651692708
273,50,0.011216958363850912,0.0012993812561035156,0.009917577107747396,0.0003319581349690755,0.0004181861877441406,0.0003661314646402995,0.0002582073211669922,7.581710815429688e-05,0.0009268919626871744
989,50,0.01493978500366211,0.001306613286336263,0.013633171717325846,0.00046904881795247394,0.0007753372192382812,0.0005985101064046224,0.00028506914774576825,0.0001609325408935547,0.0009572505950927734
533,100,0.019879261652628582,0.0012871424357096355,0.018592119216918945,0.0005557537078857422,0.0006566842397054037,0.00047858556111653644,0.00026075045267740887,0.00012063980102539062,0.000926812489827474
2247,100,0.02406064669291178,0.0014262994130452473,0.022634347279866535,0.0007515748341878256,0.0020150343577067056,0.0010783672332763672,0.000310818354288737,0.000310977300008138,0.0010137557983398438
766,150,0.02857549985249837,0.001360495885213216,0.027215003967285156,0.0004421075185139974,0.00086212158203125,0.0005835692087809244,0.00025534629821777344,0.00015076001485188803,0.0009568532307942709
3230,150,0.0331715742746989,0.0015345414479573567,0.03163703282674154,0.0009461243947347006,0.002242008845011393,0.001458883285522461,0.0003428459167480469,0.0004352728525797526,0.0010402997334798176
1019,200,0.03725576400756836,0.0014241536458333333,0.035831610361735024,0.0005176862080891927,0.0011090437571207683,0.0007243156433105469,0.0002754529317220052,0.0001881122589111328,0.0009891986846923828
4460,200,0.042383273442586265,0.0016642411549886067,0.040719032287597656,0.0012328624725341797,0.0038069883982340493,0.0019046465555826824,0.00038854281107584637,0.0005994637807210287,0.0010412534077962239
1431,250,0.04543948173522949,0.0014811356862386067,0.04395834604899088,0.000625451405843099,0.0019315083821614583,0.0009055137634277344,0.0003094673156738281,0.000261386235555013,0.0010251998901367188
5677,250,0.05217059453328451,0.0017700990041097004,0.050400495529174805,0.0014602343241373699,0.005492210388183594,0.0023690064748128257,0.0004318555196126302,0.000743865966796875,0.0010557174682617188
1716,300,0.05434465408325195,0.0015530586242675781,0.052791595458984375,0.0006838639577229818,0.001813650131225586,0.0010277430216471355,0.00031383832295735675,0.0003005663553873698,0.0010151863098144531
6489,300,0.06825200716654459,0.0018337567647298176,0.06641825040181477,0.001621246337890625,0.006467262903849284,0.002631505330403646,0.00046372413635253906,0.000835418701171875,0.001062313715616862
1907,350,0.06270090738932292,0.0016025702158610027,0.061098337173461914,0.0007581710815429688,0.0025940736134847007,0.0011521180470784504,0.0003306070963541667,0.00031495094299316406,0.0010368029276529949
6914,350,0.06926163037618002,0.0019425551096598308,0.06731907526652019,0.0017390251159667969,0.006375869115193685,0.002802292505900065,0.0004868507385253906,0.0009104410807291666,0.0010724067687988281
2171,400,0.07146859169006348,0.0016576449076334636,0.06981094678243001,0.0008186499277750651,0.002923727035522461,0.0012662410736083984,0.00033585230509440106,0.00037288665771484375,0.0010307629903157551
9192,400,0.07834998766581217,0.0021248658498128257,0.07622512181599934,0.002182483673095703,0.00938256581624349,0.0035454432169596353,0.0005473295847574869,0.0011328856150309246,0.0011141300201416016
2430,450,0.0795292854309082,0.0017088254292805989,0.07782046000162761,0.0008786519368489584,0.0033407211303710938,0.0013765494028727214,0.0004893938700358073,0.00039958953857421875,0.0010286966959635417
9924,450,0.09625919659932454,0.002193450927734375,0.09406574567159016,0.0023119449615478516,0.01039449373881022,0.003888845443725586,0.0006423791249593099,0.0012496312459309895,0.0011416276295979817
2763,500,0.0879818598429362,0.0017859141031901042,0.0861959457397461,0.0009365876515706381,0.004096508026123047,0.0014878908793131511,0.00036565462748209637,0.0004382133483886719,0.0010342597961425781
10603,500,0.0961759090423584,0.002405246098836263,0.09377066294352214,0.0024493535359700522,0.011534531911214193,0.004126548767089844,0.0006492932637532552,0.0013159116109212239,0.0011452833811442058
765,50,0.012223164240519205,0.0013957023620605469,0.010827461878458658,0.0004325707753499349,0.0006563663482666016,0.0005280971527099609,0.0002731482187906901,0.00013462702433268228,0.000919183095296224
2877,50,0.02275665601094564,0.0014366308848063152,0.021320025126139324,0.0008477369944254557,0.0016967455546061199,0.001703182856241862,0.00031749407450358075,0.0003688335418701172,0.0010647773742675781
1633,100,0.021253506342569985,0.0014608701070149739,0.019792636235555012,0.0006218751271565756,0.0012067159016927083,0.0008489290873209635,0.00028594334920247394,0.00024167696634928385,0.001000801722208659
6732,100,0.03485314051310221,0.0018352667490641277,0.033017873764038086,0.0016353925069173176,0.003743410110473633,0.0025930404663085938,0.0004588762919108073,0.0008339087168375651,0.0010824203491210938
2496,150,0.0300137996673584,0.0015247662862141926,0.028489033381144207,0.0008203983306884766,0.002284526824951172,0.0012041727701822917,0.00030954678853352863,0.000352938969930013,0.0010360081990559895
9719,150,0.04472724596659342,0.002094268798828125,0.0426329771677653,0.002231438954671224,0.006258090337117513,0.0035990079243977866,0.000549475351969401,0.0011696020762125652,0.001125653584798177
3522,200,0.03856841723124186,0.0016924540201822917,0.03687596321105957,0.001024484634399414,0.0030287901560465493,0.0015884240468343098,0.0003616809844970703,0.00048351287841796875,0.001050710678100586
12407,200,0.05359713236490885,0.0023429393768310547,0.0512541929880778,0.002711772918701172,0.009737094243367514,0.004472494125366211,0.0006377696990966797,0.0014611879984537761,0.0011854966481526692
4308,250,0.047732035319010414,0.0017547607421875,0.045977274576822914,0.0012097358703613281,0.0037643909454345703,0.0018777847290039062,0.0003719329833984375,0.0005617936452229818,0.0010668436686197917
15606,250,0.0728765328725179,0.002789100011189779,0.07008743286132812,0.0033681392669677734,0.012678225835164389,0.005623976389567058,0.0008278687795003256,0.0018616517384847004,0.0012513001759847004
4885,300,0.05631208419799805,0.0019154548645019531,0.054396629333496094,0.0013140042622884114,0.004381736119588216,0.002099116643269857,0.00041548411051432293,0.0006616910298665365,0.0010671615600585938
15048,300,0.07607237497965494,0.0029664834340413413,0.0731058915456136,0.0032631556193033853,0.012381474177042643,0.005623817443847656,0.0008100668589274088,0.0018129348754882812,0.0012563069661458333
5405,350,0.0652450720469157,0.0019528865814208984,0.0632921854654948,0.0014333724975585938,0.005385160446166992,0.0022989114125569663,0.00043813387552897137,0.0007194677988688151,0.0010979175567626953
20595,350,0.08794347445170085,0.0037779808044433594,0.08416549364725749,0.0043103694915771484,0.02101286252339681,0.0074350833892822266,0.0008918444315592448,0.002402623494466146,0.0012856324513753254
6152,400,0.07375558217366537,0.0020205179850260415,0.07173506418863933,0.001570304234822591,0.0062792301177978516,0.002558469772338867,0.0004723866780598958,0.0008164246877034506,0.001086870829264323
